title,meta,headers,body,QueryNumber,map,p10,ndcg10,ndcg1000,bpref,rr
0,0,0,5,256,0.0362,0.3000,0.1994,0.1292,0.0990,1.0000
0,0,0,5,257,0.0326,0.3000,0.1176,0.1276,0.1014,0.3333
0,0,0,5,258,0.0113,0.2000,0.1026,0.0478,0.0420,0.5000
0,0,0,5,259,0.0551,0.7000,0.4731,0.1463,0.0883,0.5000
0,0,0,5,260,0.0235,0.1000,0.1083,0.0908,0.0799,0.5000
0,0,0,5,261,0.0479,0.1000,0.1498,0.1193,0.0794,1.0000
0,0,0,5,262,0.0029,0.1000,0.0402,0.0357,0.0282,0.1111
0,0,0,5,263,0.0085,0.1000,0.0743,0.0683,0.0574,0.5000
0,0,0,5,264,0.0128,0.1000,0.0550,0.0909,0.0982,0.3333
0,0,0,5,265,0.0663,0.2000,0.2357,0.2887,0.1723,0.5000
0,0,0,5,266,0.0250,0.5000,0.6880,0.1715,0.0614,1.0000
0,0,0,5,267,0.0013,0.1000,0.0221,0.0071,0.0118,0.1111
0,0,0,5,268,0.0038,0.2000,0.0935,0.0296,0.0222,0.2000
0,0,0,5,269,0.0008,0.0000,0.0000,0.0390,0.0302,0.0208
0,0,0,5,270,0.0155,0.1000,0.1177,0.1191,0.1072,0.5000
0,0,0,5,271,0.0111,0.1000,0.0534,0.0446,0.0578,0.1667
0,0,0,5,272,0.0126,0.3000,0.1706,0.0821,0.0728,1.0000
0,0,0,5,273,0.0722,0.5000,0.4343,0.2779,0.1637,0.3333
0,0,0,5,274,0.0055,0.2000,0.0524,0.0488,0.0756,0.1429
0,0,0,5,275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,5,276,0.0091,0.2000,0.0707,0.0518,0.0495,0.5000
0,0,0,5,277,0.0000,0.0000,0.0000,0.0047,0.0135,0.0028
0,0,0,5,278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,5,279,0.0112,0.2000,0.1076,0.0687,0.0585,0.3333
0,0,0,5,280,0.0053,0.2000,0.1290,0.0698,0.0683,0.1429
0,0,0,5,281,0.0119,0.2000,0.0841,0.0698,0.0649,0.2500
0,0,0,5,282,0.0197,0.4000,0.3156,0.1164,0.0958,0.5000
0,0,0,5,283,0.0505,0.4000,0.2613,0.1432,0.0724,1.0000
0,0,0,5,284,0.0420,0.6000,0.4435,0.1627,0.0863,1.0000
0,0,0,5,285,0.0338,0.7000,0.4463,0.1100,0.0465,1.0000
0,0,0,5,286,0.0114,0.2000,0.1311,0.0590,0.0481,1.0000
0,0,0,5,287,0.0035,0.1000,0.0560,0.0277,0.0208,0.1667
0,0,0,5,288,0.0206,0.3000,0.2341,0.0963,0.0621,1.0000
0,0,0,5,289,0.0003,0.0000,0.0000,0.0167,0.0326,0.0087
0,0,0,5,290,0.0167,0.1000,0.1389,0.0689,0.0322,0.5000
0,0,0,5,291,0.0076,0.1000,0.0364,0.0280,0.0393,0.1667
0,0,0,5,292,0.0128,0.2000,0.1717,0.0797,0.0575,1.0000
0,0,0,5,293,0.0037,0.1000,0.0750,0.0363,0.0326,0.3333
0,0,0,5,294,0.0007,0.1000,0.0663,0.0246,0.0263,0.1111
0,0,0,5,295,0.0504,0.4000,0.4393,0.1608,0.0695,1.0000
0,0,0,5,296,0.0223,0.4000,0.2149,0.0775,0.0378,1.0000
0,0,0,5,297,0.0122,0.3000,0.2989,0.0814,0.0537,1.0000
0,0,0,5,298,0.0137,0.3000,0.0930,0.1391,0.1039,0.3333
0,0,0,5,299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,5,300,0.0000,0.0000,0.0000,0.0058,0.0140,0.0015
0,0,1,0,201,0.0313,0.3000,0.1499,0.1266,0.1044,0.5000
